Country,Region,Subregion
Afghanistan,Asia,
Albania,Europe,Independent
Algeria,Africa,Northern Africa
Andorra,Europe,Independent
Angola,Africa,Middle Africa
Anguilla,The Americas,Caribbean
Antigua and Barbuda,The Americas,Caribbean
Argentina,The Americas,South America
Armenia,Asia,
Aruba,The Americas,Caribbean
Australia,Oceania,
Austria,Europe,European Union
Azerbaijan,Asia,
"Bahamas, The",The Americas,Caribbean
Bahrain,Middle East,
Bangladesh,Asia,
Barbados,The Americas,Caribbean
Belarus,Europe,Independent
Belgium,Europe,European Union
Belize,The Americas,Central America
Benin,Africa,Western Africa
Bermuda,The Americas,North America
Bhutan,Asia,
Bolivia,The Americas,South America
"Bonaire, Saint Eustatius and Saba",The Americas,Caribbean
Bosnia and Herzegovina,Europe,Independent
Botswana,Africa,Southern Africa
Brazil,The Americas,South America
British Virgin Islands,The Americas,Caribbean
Brunei Darussalam,Asia,
Bulgaria,Europe,European Union
Burkina Faso,Africa,Western Africa
Burundi,Africa,Eastern Africa
Cambodia,Asia,
Cameroon,Africa,Middle Africa
Canada,The Americas,North America
Cape Verde,Africa,Western Africa
Cayman Islands,The Americas,Caribbean
Central African Republic,Africa,Middle Africa
Chad,Africa,Middle Africa
Chile,The Americas,South America
China,Asia,
Colombia,The Americas,South America
Comoros,Africa,Eastern Africa
"Congo, Dem. Rep.",Africa,Middle Africa
"Congo, Rep.",Africa,Middle Africa
Costa Rica,The Americas,Central America
Cote d'Ivoire,Africa,Western Africa
Croatia,Europe,Independent
Cuba,The Americas,Caribbean
Curacao,The Americas,Caribbean
Cyprus,Europe,European Union
Czech Republic,Europe,European Union
Denmark,Europe,European Union
Djibouti,Africa,Eastern Africa
Dominica,The Americas,Caribbean
Dominican Republic,The Americas,Caribbean
Ecuador,The Americas,South America
"Egypt, Arab Rep.",Africa,Northern Africa
El Salvador,The Americas,Central America
Equatorial Guinea,Africa,Middle Africa
Eritrea,Africa,Eastern Africa
Estonia,Europe,European Union
Ethiopia,Africa,Eastern Africa
European Union,Europe,Independent
Falkland Islands (Malvinas),The Americas,South America
Faeroe Islands,Europe,Independent
Fiji,Oceania,
Finland,Europe,European Union
France,Europe,European Union
French Guiana,The Americas,South America
French Polynesia,Oceania,
Gabon,Africa,Middle Africa
"Gambia, The",Africa,Western Africa
Georgia,Asia,
Germany,Europe,European Union
Ghana,Africa,Western Africa
Gibraltar,Europe,Independent
Greece,Europe,European Union
Greenland,The Americas,North America
Grenada,The Americas,Caribbean
Guadeloupe,The Americas,Caribbean
Guam,Oceania,
Guatemala,The Americas,Central America
Guerney and Alderney,Europe,Independent
Guinea,Africa,Western Africa
Guinea-Bissau,Africa,Western Africa
Guyana,The Americas,South America
Haiti,The Americas,Caribbean
Honduras,The Americas,Central America
"Hong Kong SAR, China",Asia,
Hungary,Europe,European Union
Iceland,Europe,Independent
India,Asia,
Indonesia,Asia,
"Iran, Islamic Rep.",Middle East,
Iraq,Middle East,
Ireland,Europe,European Union
Israel,Middle East,
Italy,Europe,European Union
Jamaica,The Americas,Caribbean
Japan,Asia,
Jersey,Europe,Independent
Jordan,Middle East,
Kazakhstan,Asia,
Kenya,Africa,Eastern Africa
Kiribati,Oceania,
"Korea, Dem. Rep.",Asia,
"Korea, Rep.",Asia,
Kosovo,Europe,Independent
Kuwait,Middle East,
Kyrgyz Republic,Asia,
Lao PDR,Asia,
Latvia,Europe,European Union
Lebanon,Middle East,
Lesotho,Africa,Southern Africa
Liberia,Africa,Western Africa
Libya,Africa,Northern Africa
Liechtenstein,Europe,Independent
Lithuania,Europe,European Union
Luxembourg,Europe,European Union
"Macao SAR, China",Asia,
"Macedonia, FYR",Europe,Independent
Madagascar,Africa,Eastern Africa
Malawi,Africa,Eastern Africa
Malaysia,Asia,
Maldives,Asia,
Mali,Africa,Western Africa
Malta,Europe,European Union
Isle of Man,Europe,Independent
Marshall Islands,Oceania,
Martinique,The Americas,Caribbean
Mauritania,Africa,Western Africa
Mauritius,Africa,Eastern Africa
Mayotte,Africa,Eastern Africa
Mexico,The Americas,Central America
"Micronesia, Fed. Sts.",Oceania,
Moldova,Europe,Independent
Monaco,Europe,Independent
Mongolia,Asia,
Monserrat,The Americas,Caribbean
Montenegro,Europe,Independent
Morocco,Africa,Northern Africa
Mozambique,Africa,Eastern Africa
Myanmar,Asia,
Namibia,Africa,Southern Africa
Nepal,Asia,
Netherlands,Europe,European Union
New Caledonia,Oceania,
New Zealand,Oceania,
Nicaragua,The Americas,Central America
Niger,Africa,Western Africa
Nigeria,Africa,Western Africa
Northern Africa,Africa,Northern Africa
Norway,Europe,Independent
Oman,Middle East,
Pakistan,Asia,
Palestine,Middle East,
Panama,The Americas,Central America
Papua New Guinea,Oceania,
Paraguay,The Americas,South America
Peru,The Americas,South America
Philippines,Asia,
Poland,Europe,European Union
Portugal,Europe,European Union
Puerto Rico,The Americas,Caribbean
Qatar,Middle East,
Reunion,Africa,Eastern Africa
Romania,Europe,European Union
Russian Federation,Europe,Independent
Rwanda,Africa,Eastern Africa
Saint Helena,Africa,Western Africa
St. Lucia,The Americas,Caribbean
St. Martin (French part),The Americas,Caribbean
Saint Pierre and Miquelon,The Americas,North America
St. Vincent and the Grenadines,The Americas,Caribbean
Saint-Barthélemy,The Americas,Caribbean
Samoa,Oceania,
American Samoa,Oceania,
San Marino,Europe,Independent
Sao Tome and Principe,Africa,Middle Africa
Saudi Arabia,Middle East,
Senegal,Africa,Western Africa
Serbia,Europe,Independent
Seychelles,Africa,Eastern Africa
Sierra Leone,Africa,Western Africa
Singapore,Asia,
Sint Maarten (Dutch part),The Americas,Caribbean
Slovak Republic,Europe,European Union
Slovenia,Europe,European Union
Solomon Islands,Oceania,
Somalia,Africa,Eastern Africa
South Africa,Africa,Southern Africa
South Sudan,Africa,Northern Africa
Southern Africa,Africa,Southern Africa
Spain,Europe,European Union
Sri Lanka,Asia,
St. Kitts and Nevis,The Americas,Caribbean
Sudan,Africa,Northern Africa
Suriname,The Americas,South America
Svalbard and Jan Mayen Islands,Europe,Independent
Swaziland,Africa,Southern Africa
Sweden,Europe,European Union
Switzerland,Europe,Independent
Syrian Arab Republic,Middle East,
Taiwan,Asia,
Tajikistan,Asia,
Tanzania,Africa,Eastern Africa
Thailand,Asia,
Timor-Leste,Asia,
Togo,Africa,Western Africa
Tonga,Oceania,
Trinidad and Tobago,The Americas,Caribbean
Tunisia,Africa,Northern Africa
Turkey,Europe,Independent
Turkmenistan,Asia,
Turks and Caicos Islands,The Americas,Caribbean
Uganda,Africa,Eastern Africa
Ukraine,Europe,Independent
United Arab Emirates,Middle East,
United Kingdom,Europe,European Union
United States,The Americas,North America
Uruguay,The Americas,South America
Uzbekistan,Asia,
Vanuatu,Oceania,
Vatican City State (Holy See),Europe,Independent
"Venezuela, RB",The Americas,South America
Vietnam,Asia,
Virgin Islands (U.S.),The Americas,Caribbean
Western Africa,Africa,Western Africa
Western Sahara,Africa,Northern Africa
"Yemen, Rep.",Middle East,
Zambia,Africa,Eastern Africa
Zimbabwe,Africa,Eastern Africa
